active,begin,end,text,cta_text,cta_url,cta_title,weight
1,29/05/2016,20/05/2017,"Non, mais vous pouvez remonter le temps&nbsp;!",Voir les vidéos,https://vimeo.com/album/3981563,Vidéos SudWeb sur Vimeo,1
1,29/05/2016,01/03/2017,"Hélas c'est fini, rendez-vous en 2017&nbsp;!",Des souvenirs,https://www.flickr.com/groups/sudweb-2016/,Gallerie Flickr de SudWeb 2016,1
1,21/05/2017,20/05/2017,"Hélas c'est fini, rendez-vous en 2018&nbsp;!",En attendant…,https://vimeo.com/album/3981563,Vidéos SudWeb sur Vimeo,1
1,10/05/2017,20/05/2017,Votre valise est prête&nbsp;?,Web soquettes !,https://www.youtube.com/watch?v=Q8m5fjtM7Ww,"Clip ""Dorothée - La Valise"" sur Youtube",2
1,15/05/2017,20/05/2017,Vos costumes de héros sont repassés&nbsp;?,N'oubliez pas les paroles,https://www.youtube.com/watch?v=Tgcc5V9Hu3g,"Clip ""David Bowie - Heroes"" sur Youtube",2
1,11/05/2017,11/05/2017,"Hiii, plus que 8 jours&nbsp;!",Oh joie !,https://www.youtube.com/watch?v=FRHsIAj9QaA,"Clip ""KAP BAMBINO - Hey!"" sur Youtube",3
1,28/04/2017,05/05/2017,Plus que trois semaines…,Prêts pour le show ?,https://www.youtube.com/watch?v=60oHeAHe1Tc,"Clip ""White Lung - Below"" sur Youtube",3
1,20/03/2017,20/05/2017,"Non, mais c'est déjà le printemps",À vos souhaits !,https://www.youtube.com/watch?v=PbgKEjNBHqM,"Clip ""Nirvana - In Bloom"", sur Youtube",2
0,18/05/2017,20/05/2017,"Non, c'est bientôt complet…",Vite !,http://sudweb.fr/2016/inscription/,Inscription pour Sud Web 2016,99
